Incident_ID,ResponseDate,CaseNumber,HundredBlock,Problem
"01/01/2019 00:27:10","1","SASL2B-Sex Assault J/O","BPD190101-000009","20190101-0000004"
"01/01/2019 00:29:31","1","DISTU1B - Disturbance I/P","BPD190101-000010",""
"01/01/2019 00:34:00","1","DISTU1B - Disturbance I/P","BPD190101-000012","20190101-0000002"
"01/01/2019 02:00:06","1","DISTU1B - Disturbance I/P","BPD190101-000020","20190101-0000005"
"01/01/2019 03:20:44","1","DISTU1B - Disturbance I/P","BPD190101-000030","20190101-0000009"
"01/01/2019 03:47:12","1","DISTU1B - Disturbance I/P","BPD190101-000035",""
"01/01/2019 04:06:41","1","WEAPO1B-Weapon I/P","BPD190101-000038",""
"01/01/2019 02:54:20","1","DISTU1B - Disturbance I/P","BPD190101-000026",""
"01/01/2019 04:44:39","1","TRESP1B-Trespassing I/P","BPD190101-000043",""
"01/01/2019 05:24:13","1","TRESP1B-Trespassing I/P","BPD190101-000045",""
"01/01/2019 07:38:35","1","DISTU1B - Disturbance I/P","BPD190101-000052",""
"01/01/2019 09:40:55","1","DISTU1B - Disturbance I/P","BPD190101-000064",""
"01/01/2019 10:32:56","1","TRESP1B-Trespassing I/P","BPD190101-000071","20190101-0000017"
"01/01/2019 11:58:00","1","SUSPI1B-Suspicious I/P","BPD190101-000082",""
"01/01/2019 12:14:54","1","TRESP1B-Trespassing I/P","BPD190101-000085",""
"01/01/2019 13:54:31","1","DISTU1B - Disturbance I/P","BPD190101-000100",""
"01/01/2019 15:47:36","1","DISTU1B - Disturbance I/P","BPD190101-000116",""
"01/01/2019 15:57:20","1","DISTU1B - Disturbance I/P","BPD190101-000117",""
"01/01/2019 20:06:09","1","DISTU1B - Disturbance I/P","BPD190101-000144",""
"01/01/2019 16:22:41","1","SUSPI1B-Suspicious I/P","BPD190101-000123","20190101-0000025"
"01/01/2019 20:55:39","1","SUSPI1B-Suspicious I/P","BPDBC190101-000155",""
"01/01/2019 21:19:52","1","TRESP1B-Trespassing I/P","BPD190101-000156",""
"01/01/2019 21:24:40","1","TRESP1B-Trespassing I/P","BPD190101-000160",""
"01/01/2019 22:01:58","1","TRESP1B-Trespassing I/P","BPD190101-000165",""
"01/01/2019 22:30:17","1","TRESP1B-Trespassing I/P","BPD190101-000168",""
"01/02/2019 00:35:11","1","DISTU1B - Disturbance I/P","BPD190102-000178","20190102-0000030"
"01/02/2019 00:40:32","1","TRESP1B-Trespassing I/P","BPD190102-000179",""
"01/02/2019 04:45:56","1","CRTRE1B - Criminal Tresp I/P","BPD190102-000195","20190102-0000033"
"01/02/2019 09:06:32","1","SUSPI1B-Suspicious I/P","BPD190102-000218",""
"01/02/2019 09:24:00","1","PDACCB-Property Damage Acc","BPD190102-000221",""
"01/02/2019 09:47:01","1","CRTRE1B - Criminal Tresp I/P","BPD190102-000230","20190102-0000041"
"01/02/2019 11:22:55","1","TRESP1B-Trespassing I/P","BPD190102-000252",""
"01/02/2019 16:11:02","1","TRESP1B-Trespassing I/P","BPD190102-000330",""
"01/02/2019 15:02:54","1","TRESP1B-Trespassing I/P","BPD190102-000312",""
"01/02/2019 15:09:36","1","TRESP1B-Trespassing I/P","BPD190102-000314",""
"01/02/2019 19:17:13","1","TRESP1B-Trespassing I/P","BPD190102-000367",""
"01/02/2019 19:42:30","1","SUSPI1B-Suspicious I/P","BPD190102-000370",""
"01/02/2019 21:17:43","1","TRESP1B-Trespassing I/P","BPD190102-000382","20190102-0000060"
"01/02/2019 23:32:21","1","STABB-Stabbing","BPD190102-000397","20190103-0000061"
"01/03/2019 00:22:38","1","SUSPI1B-Suspicious I/P","BPD190103-000401",""
"01/03/2019 03:57:03","1","TRESP1B-Trespassing I/P","BPD190103-000421",""
"01/03/2019 06:29:11","1","TRESP1B-Trespassing I/P","BPD190103-000427",""
"01/03/2019 06:47:22","1","TRESP1B-Trespassing I/P","BPD190103-000428",""
"01/03/2019 08:32:42","1","SUSPI1B-Suspicious I/P","BPD190103-000443",""
"01/03/2019 11:20:11","1","DISTU1B - Disturbance I/P","BPD190103-000478",""
"01/03/2019 12:19:29","1","DISTU1B - Disturbance I/P","BPD190103-000491",""
"01/03/2019 12:44:23","1","DISTU1B - Disturbance I/P","BPD190103-000499",""
"01/03/2019 13:56:37","1","TRESP1B-Trespassing I/P","BPD190103-000509","20190103-0000081"
"01/03/2019 14:08:02","1","TRESP1B-Trespassing I/P","BPD190103-000514",""
"01/03/2019 14:11:52","1","ASSAU1B-Assault I/P","BPD190103-000516",""
"01/03/2019 14:49:25","1","DISTU1B - Disturbance I/P","BPD190103-000529",""
"01/03/2019 14:58:19","1","SUSPI1B-Suspicious I/P","BPD190103-000531",""
"01/03/2019 17:56:21","1","TRESP1B-Trespassing I/P","BPD190103-000574",""
"01/03/2019 18:00:20","1","DISTU1B - Disturbance I/P","BPD190103-000577",""
"01/03/2019 19:08:00","1","DISTU1B - Disturbance I/P","BPD190103-000587",""
"01/03/2019 21:03:14","1","DISTU1B - Disturbance I/P","BPD190103-000609","20190103-0000098"
"01/03/2019 22:10:45","1","TRESP1B-Trespassing I/P","BPD190103-000617",""
"01/03/2019 22:57:36","1","TRESP1B-Trespassing I/P","BPD190103-000620",""
"01/03/2019 23:31:27","1","DISTU1B - Disturbance I/P","BPD190103-000622",""
"01/04/2019 01:37:50","1","SUSPI1B-Suspicious I/P","BPD190104-000630",""
"01/04/2019 07:52:07","1","WEAPO1B-Weapon I/P","BPD190104-000657","20190104-0000107"
"01/04/2019 08:18:17","1","TRESP1B-Trespassing I/P","BPD190104-000661",""
"01/04/2019 08:44:29","1","TRESP1B-Trespassing I/P","BPD190104-000665","20190104-0000109"
"01/04/2019 12:16:18","1","SUSPI1B-Suspicious I/P","BPD190104-000720","20190104-0000121"
"01/04/2019 09:26:52","1","TRESP1B-Trespassing I/P","BPD190104-000673","20190104-0000111"
"01/04/2019 14:17:37","1","DISTU1B - Disturbance I/P","BPD190104-000759",""
"01/04/2019 17:36:19","1","DISTU1B - Disturbance I/P","BPD190104-000806",""
"01/04/2019 16:32:33","1","TRESP1B-Trespassing I/P","BPD190104-000794",""
"01/04/2019 18:35:56","1","SUSPI1B-Suspicious I/P","BPD190104-000821","20190104-0000131"
"01/04/2019 19:33:12","1","TRESP1B-Trespassing I/P","BPD190104-000830",""
"01/04/2019 21:01:38","1","DISTU1B - Disturbance I/P","BPD190104-000845",""
"01/04/2019 22:37:37","1","SUSPI1B-Suspicious I/P","BPD190104-000860",""
"01/05/2019 05:08:16","1","DISTU1B - Disturbance I/P","BPD190105-000900","20190105-0000144"
"01/05/2019 07:03:30","1","DISTU1B - Disturbance I/P","BPD190105-000906",""
"01/05/2019 10:28:17","1","DISTU1B - Disturbance I/P","BPD190105-000936",""
"01/05/2019 14:32:34","1","HARAS1B-Harassment I/P","BPD190105-000994","20190105-0000151"
"01/05/2019 18:02:48","1","DISTU1B - Disturbance I/P","BPD190105-001029","20190105-0000160"
"01/05/2019 21:09:02","1","DISTU1B - Disturbance I/P","BPD190105-001051",""
"01/05/2019 22:40:30","1","DISTU1B - Disturbance I/P","BPD190105-001065","20190105-0000173"
"01/05/2019 22:22:10","1","DISTU1B - Disturbance I/P","BPD190105-001062",""
"01/06/2019 06:38:33","1","HARAS1B-Harassment I/P","BPD190106-001094",""
"01/06/2019 06:41:11","1","DISTU1B - Disturbance I/P","BPD190106-001095","20190106-0000179"
"01/06/2019 13:26:13","1","DISTU1B - Disturbance I/P","BPD190106-001148",""
